text,intent
How much did I spend last month?,spending_summary
Show my groceries spend in September,category_summary
What did I spend on groceries in 2025-09?,category_summary
How much was my rent in Aug 2025?,category_summary
Recommend ways to cut expenses,recommendation
What did I spend on spotify in 2026-02?,category_summary
How much did I spend in Apr 2023?,spending_summary
Give me saving suggestions for Jul 2024,recommendation
Total spending for 2026-12,spending_summary
Spending on travel last month,category_summary
What will I spend next month?,forecast_expense
Show top 5 categories last 6 months,top_categories
How do I spend less next month?,recommendation
How much did I spend in May 2023?,spending_summary
Find recurring subscriptions for last 2 months,subscriptions
Estimate next month's expenses,forecast_expense
Top categories this month,top_categories
Find recurring subscriptions for last 12 months,subscriptions
How much did I spend in Jan 2025?,spending_summary
How much did I spend in Oct 2025?,spending_summary
Show subscriptions this month,subscriptions
Give me saving suggestions for Sep 2025,recommendation
Top 5 categories for Jun 2024,top_categories
Recommend cheaper alternatives for subscriptions,recommendation
Top spending categories last quarter,top_categories
What is my total spend for Jul 2024?,spending_summary
What should I cancel to save money?,recommendation
How much for prime video last 4 months,category_summary
How much was my spending in the last 1 months?,spending_summary
Show top 3 categories last 1 months,top_categories
My apple music spend for Mar 2025,category_summary
How much for mobile last 4 months,category_summary
Any subscriptions in Aug 2023?,subscriptions
How much was my spending in the last 6 months?,spending_summary
Total I spent this month,spending_summary
How much was my spending in the last 3 months?,spending_summary
How much for utilities last 2 months,category_summary
Show my recurring subscriptions,subscriptions
Forecast monthly spend,forecast_expense
How much did I spend in Apr 2024?,spending_summary
How much did I spend on internet in 2026-05?,category_summary
Any subscriptions in Feb 2023?,subscriptions
How much did I spend in Mar 2026?,spending_summary
How much did I spend on dining in 2026-03?,category_summary
Predict expenses for the upcoming month,forecast_expense
Spending on vehicle insurance last month,category_summary
Any tips to lower my expenses?,recommendation
Which categories did I spend the most on in Mar?,top_categories
What did I spend on hbomax in 2024-02?,category_summary
Highest spend categories 2023-10,top_categories
Find subscriptions over the last year,subscriptions
What were my top categories in Mar 2025?,top_categories
Projected expenses for 2026-03,forecast_expense
Which categories did I spend the most on in Jan?,top_categories
How much did I spend on fuel this month?,category_summary
Highest spend categories 2025-12,top_categories
Predict my expenses for next month,forecast_expense
My apple music spend for Dec 2026,category_summary
Expected expenses for Sep 2024,forecast_expense
What is my total spend for Jun 2023?,spending_summary
Suggest savings opportunities,recommendation
Total spending for 2025-12,spending_summary
Expense prediction for next month,forecast_expense
Spending on rent last month,category_summary
Forecast my spending for May 2025,forecast_expense
Give me saving suggestions for Jun 2023,recommendation
What was my healthcare total in Jan 2023?,category_summary
How can I reduce my spending?,recommendation
Projected expenses for 2026-04,forecast_expense
How much did I spend in Nov 2025?,spending_summary
Show my restaurants spend in Apr,category_summary
List my subscriptions,subscriptions
Show total expenses for last month,spending_summary
Overall expenses for the past 4 months,spending_summary
Any subscriptions in Sep 2025?,subscriptions
How much did I spend on prime video this month?,category_summary
What is my total spend for Apr 2025?,spending_summary
Show top 5 categories last 2 months,top_categories
Do I have duplicate streaming services?,subscriptions
How much did I spend on hotel in 2023-10?,category_summary
What subscriptions do I have?,subscriptions
Which categories did I spend the most on in Oct?,top_categories
Show my electric spend in Apr,category_summary
Highest spend categories 2025-08,top_categories
Top categories over the last 2 months,top_categories
How much did I spend this week?,spending_summary
List duplicate subscriptions,subscriptions
Which categories did I spend the most on in Aug?,top_categories
Highest spend categories 2024-02,top_categories
Any subscriptions in Apr 2026?,subscriptions
Any subscriptions in Jun 2025?,subscriptions
Projected expenses for 2024-05,forecast_expense
Forecast my spending for Dec 2024,forecast_expense
Help me optimize my budget,recommendation
Give me saving suggestions for Mar 2025,recommendation
What were my top categories in Dec 2024?,top_categories
How much was my youtube in May 2023?,category_summary
Top 5 categories for Oct 2024,top_categories
Show top 3 categories last 3 months,top_categories
Spending on internet last month,category_summary
How much did I spend on vehicle insurance this month?,category_summary
Expected expenses for Nov 2024,forecast_expense
Highest spend categories 2024-11,top_categories
Give me a forecast for next month expenses,forecast_expense
Top spending categories in 6 months,top_categories
Give me my spend for 2026-06,spending_summary
Projected expenses for 2023-06,forecast_expense
Give me saving suggestions for Aug 2026,recommendation
Show biggest categories last month,top_categories
How much did I spend in May 2024?,spending_summary
How much did I spend in Feb 2026?,spending_summary
Find recurring subscriptions for last 4 months,subscriptions
Which categories did I spend the most on in Dec?,top_categories
How much did I spend on restaurants in 2026-06?,category_summary
Subscriptions in the last 2 months,subscriptions
Give me my spend for 2026-02,spending_summary
Subscriptions in the last 3 months,subscriptions
Top 5 categories for Nov 2023,top_categories
How much did I spend on shopping this month?,category_summary
Highest spend categories 2024-08,top_categories
